2015-03-13 10:42:10,232 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:42:10,233 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:42:10,234 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:42:10,237 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:42:11,374 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:42:11,375 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:42:11,382 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:42:11,384 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:42:12,614 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:42:12,615 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:42:12,616 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:42:12,618 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:42:14,133 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:42:14,134 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:42:14,135 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:42:14,137 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:42:15,381 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:42:15,382 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:42:15,383 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:42:15,386 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2015-03-13 10:42:18,219 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:42:18,220 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-03-13 10:42:18,221 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-03-13 10:42:18,225 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
